,cafe_do_mario,vo_mira_conilon,vo_mira_arabica,cafe_saulo_gourmet,cafe_saulo_especial,temp_amb,umid_amb,timex,temp2,charge_bt_modificado,Acima de 2000,Abaixo de 2000
146,0,0,0,0,1,30.7,0.61,294.00080005,150.49327901,215.23087253,1,0
147,0,0,0,0,1,30.7,0.61,296.00053845,150.9850496,215.23087253,1,0
148,0,0,0,0,1,30.7,0.61,298.00075745,151.45787817,215.23087253,1,0
149,0,0,0,0,1,30.7,0.61,300.0005612,151.95679517,215.23087253,1,0
150,0,0,0,0,1,30.7,0.61,302.00000239999997,152.46094619,215.23087253,1,0
151,0,0,0,0,1,30.7,0.61,304.00061205,152.9875,215.23087253,1,0
152,0,0,0,0,1,30.7,0.61,305.99998325,153.38908975,215.23087253,1,0
153,0,0,0,0,1,30.7,0.61,308.0008892,153.92119164,215.23087253,1,0
154,0,0,0,0,1,30.7,0.61,309.999962,154.37402424,215.23087253,1,0
155,0,0,0,0,1,30.7,0.61,312.00074265,154.86302136,215.23087253,1,0
156,0,0,0,0,1,30.7,0.61,314.00013845,155.31788705,215.23087253,1,0
157,0,0,0,0,1,30.7,0.61,316.00054395,155.77997212,215.23087253,1,0
158,0,0,0,0,1,30.7,0.61,317.99990095,156.27028211,215.23087253,1,0
159,0,0,0,0,1,30.7,0.61,320.0003236,156.81182561,215.23087253,1,0
160,0,0,0,0,1,30.7,0.61,322.0007457,157.26988527,215.23087253,1,0
161,0,0,0,0,1,30.7,0.61,324.00046035,157.75538366,215.23087253,1,0
162,0,0,0,0,1,30.7,0.61,326.0009772,158.20637987,215.23087253,1,0
163,0,0,0,0,1,30.7,0.61,328.0005222,158.67641881,215.23087253,1,0
164,0,0,0,0,1,30.7,0.61,330.00016155,159.17284019,215.23087253,1,0
165,0,0,0,0,1,30.7,0.61,332.00071655,159.65307946,215.23087253,1,0
166,0,0,0,0,1,30.7,0.61,334.000105,160.14918037,215.23087253,1,0
167,0,0,0,0,1,30.7,0.61,336.0007477,160.71865,215.23087253,1,0
168,0,0,0,0,1,30.7,0.61,338.0001483,161.10798056,215.23087253,1,0
169,0,0,0,0,1,30.7,0.61,340.00053735,161.58277528,215.23087253,1,0
170,0,0,0,0,1,30.7,0.61,342.00088725,162.08795511,215.23087253,1,0
171,0,0,0,0,1,30.7,0.61,344.00030385,162.63229686,215.23087253,1,0
172,0,0,0,0,1,30.7,0.61,346.00095845,163.0963857,215.23087253,1,0
173,0,0,0,0,1,30.7,0.61,348.00066595,163.55278559,215.23087253,1,0
174,0,0,0,0,1,30.7,0.61,350.00013815,164.02497246,215.23087253,1,0
175,0,0,0,0,1,30.7,0.61,352.00047775,164.50561526,215.23087253,1,0
176,0,0,0,0,1,30.7,0.61,354.00014315,164.97462543,215.23087253,1,0
177,0,0,0,0,1,30.7,0.61,356.00053265,165.51347204,215.23087253,1,0
178,0,0,0,0,1,30.7,0.61,357.99986645,165.88455655,215.23087253,1,0
179,0,0,0,0,1,30.7,0.61,360.00112915,166.31018383,215.23087253,1,0
180,0,0,0,0,1,30.7,0.61,362.0004338,166.70653872,215.23087253,1,0
181,0,0,0,0,1,30.7,0.61,364.0007518,167.19770483,215.23087253,1,0
182,0,0,0,0,1,30.7,0.61,366.0003069,167.60535982,215.23087253,1,0
183,0,0,0,0,1,30.7,0.61,368.0014023,168.04188857,215.23087253,1,0
184,0,0,0,0,1,30.7,0.61,370.00056324999997,168.45795197,215.23087253,1,0
185,0,0,0,0,1,30.7,0.61,372.00028195,168.89959367,215.23087253,1,0
186,0,0,0,0,1,30.7,0.61,374.00108215,169.35401251,215.23087253,1,0
187,0,0,0,0,1,30.7,0.61,378.00113615,170.17384619,215.23087253,1,0
188,0,0,0,0,1,30.7,0.61,380.00165175,170.60701338,215.23087253,1,0
189,0,0,0,0,1,30.7,0.61,382.0000427,171.0185312,215.23087253,1,0
190,0,0,0,0,1,30.7,0.61,384.000699,171.41387666,215.23087253,1,0
191,0,0,0,0,1,30.7,0.61,386.00072055,171.82875617,215.23087253,1,0
192,0,0,0,0,1,30.7,0.61,388.0004684,172.19714013,215.23087253,1,0
193,0,0,0,0,1,30.7,0.61,390.00041245,172.58623826,215.23087253,1,0
194,0,0,0,0,1,30.7,0.61,392.00094395,172.96098887,215.23087253,1,0
195,0,0,0,0,1,30.7,0.61,394.00052795,173.37482492,215.23087253,1,0
196,0,0,0,0,1,30.7,0.61,396.00073145,173.83216347,215.23087253,1,0
197,0,0,0,0,1,30.7,0.61,398.00006865,174.25332325,215.23087253,1,0
198,0,0,0,0,1,30.7,0.61,400.00065075,174.66534211,215.23087253,1,0
199,0,0,0,0,1,30.7,0.61,402.00024885,174.98922202,215.23087253,1,0
200,0,0,0,0,1,30.7,0.61,404.00103615,175.40026907,215.23087253,1,0
201,0,0,0,0,1,30.7,0.61,406.0009551,175.85920865,215.23087253,1,0
202,0,0,0,0,1,30.7,0.61,408.00088045,176.22691417,215.23087253,1,0
203,0,0,0,0,1,30.7,0.61,410.00033125,176.63140101,215.23087253,1,0
204,0,0,0,0,1,30.7,0.61,412.00100305,176.98888961,215.23087253,1,0
205,0,0,0,0,1,30.7,0.61,414.00059935,177.37592319,215.23087253,1,0
206,0,0,0,0,1,30.7,0.61,416.00028525,177.80399157,215.23087253,1,0
207,0,0,0,0,1,30.7,0.61,418.0001574,178.19714111,215.23087253,1,0
208,0,0,0,0,1,30.7,0.61,420.00196565,178.61060933,215.23087253,1,0
209,0,0,0,0,1,30.7,0.61,421.99995965,178.92033577,215.23087253,1,0
210,0,0,0,0,1,30.7,0.61,424.0006218,179.2876332,215.23087253,1,0
211,0,0,0,0,1,30.7,0.61,426.0010273,179.65586903,215.23087253,1,0
212,0,0,0,0,1,30.7,0.61,428.0006765,180.0892499,215.23087253,1,0
213,0,0,0,0,1,30.7,0.61,429.99990835,180.50524075,215.23087253,1,0
214,0,0,0,0,1,30.7,0.61,432.0005452,180.78393773,215.23087253,1,0
215,0,0,0,0,1,30.7,0.61,434.00030775,181.17965166,215.23087253,1,0
216,0,0,0,0,1,30.7,0.61,436.00110865,181.57726732,215.23087253,1,0
217,0,0,0,0,1,30.7,0.61,437.99998595,181.93161615,215.23087253,1,0
218,0,0,0,0,1,30.7,0.61,440.0003627,182.32248138,215.23087253,1,0
219,0,0,0,0,1,30.7,0.61,442.0005178,182.70029125,215.23087253,1,0
220,0,0,0,0,1,30.7,0.61,444.00024925,183.12964234,215.23087253,1,0
221,0,0,0,0,1,30.7,0.61,446.0004055,183.4759679,215.23087253,1,0
222,0,0,0,0,1,30.7,0.61,448.00084405,183.8460099,215.23087253,1,0
223,0,0,0,0,1,30.7,0.61,450.0001803,184.2764157,215.23087253,1,0
224,0,0,0,0,1,30.7,0.61,452.00011525,184.68251173,215.23087253,1,0
225,0,0,0,0,1,30.7,0.61,454.00040385000005,185.04920224,215.23087253,1,0
226,0,0,0,0,1,30.7,0.61,456.0002612,185.41487235,215.23087253,1,0
227,0,0,0,0,1,30.7,0.61,458.00092779999994,185.82244392,215.23087253,1,0
228,0,0,0,0,1,30.7,0.61,460.00077565,186.20890338,215.23087253,1,0
229,0,0,0,0,1,30.7,0.61,462.0006463,186.60268104,215.23087253,1,0
230,0,0,0,0,1,30.7,0.61,464.00065905,186.93890343,215.23087253,1,0
231,0,0,0,0,1,30.7,0.61,466.00018040000003,187.33558448,215.23087253,1,0
232,0,0,0,0,1,30.7,0.61,468.00085835,187.66850238,215.23087253,1,0
233,0,0,0,0,1,30.7,0.61,470.000603,188.13802813,215.23087253,1,0
234,0,0,0,0,1,30.7,0.61,472.00028979999996,188.49609091,215.23087253,1,0
235,0,0,0,0,1,30.7,0.61,474.00902064999997,188.85151131,215.23087253,1,0
236,0,0,0,0,1,30.7,0.61,476.00049495,189.19977551,215.23087253,1,0
237,0,0,0,0,1,30.7,0.61,478.00221095,189.5783179,215.23087253,1,0
238,0,0,0,0,1,30.7,0.61,480.00069690000004,189.94338013,215.23087253,1,0
239,0,0,0,0,1,30.7,0.61,482.0003922,190.31601992,215.23087253,1,0
240,0,0,0,0,1,30.7,0.61,484.00033434999995,190.65635312,215.23087253,1,0
241,0,0,0,0,1,30.7,0.61,486.00102925000004,190.93489308,215.23087253,1,0
242,0,0,0,0,1,30.7,0.61,488.00150464999996,191.19391539,215.23087253,1,0
243,0,0,0,0,1,30.7,0.61,489.99990665,191.52156589,215.23087253,1,0
244,0,0,0,0,1,30.7,0.61,492.00053829999996,191.8189967,215.23087253,1,0
245,0,0,0,0,1,30.7,0.61,494.0000474,192.1257469,215.23087253,1,0
246,0,0,0,0,1,30.7,0.61,496.00066415,192.40923688,215.23087253,1,0
247,0,0,0,0,1,30.7,0.61,498.00060779999995,192.71525899,215.23087253,1,0
248,0,0,0,0,1,30.7,0.61,500.00091089999995,193.06932974,215.23087253,1,0
249,0,0,0,0,1,30.7,0.61,502.00075810000004,193.29108218,215.23087253,1,0
250,0,0,0,0,1,30.7,0.61,504.00112570000005,193.5417427,215.23087253,1,0
251,0,0,0,0,1,30.7,0.61,505.99989220000003,193.85645169,215.23087253,1,0
252,0,0,0,0,1,30.7,0.61,508.0003751,194.06861027,215.23087253,1,0
253,0,0,0,0,1,30.7,0.61,510.00068415000004,194.25757062,215.23087253,1,0
254,0,0,0,0,1,30.7,0.61,512.00021395,194.49258438,215.23087253,1,0
255,0,0,0,0,1,30.5,0.62,0.0,216.3451901,216.3451901,1,0
256,0,0,0,0,1,30.5,0.62,2.00030385,216.12302283,216.3451901,1,0
257,0,0,0,0,1,30.5,0.62,3.9997056499999992,205.53899633,216.3451901,1,0
258,0,0,0,0,1,30.5,0.62,6.002416799999999,189.84947952,216.3451901,1,0
259,0,0,0,0,1,30.5,0.62,8.001383,175.97017409,216.3451901,1,0
260,0,0,0,0,1,30.5,0.62,10.000972749999999,163.7737794,216.3451901,1,0
261,0,0,0,0,1,30.5,0.62,12.00059765,152.85721859,216.3451901,1,0
